greeninnovation,integrity,quality,respect,teamwork,document_length,Doc_ID
2,1,0,1,0,193,3622-10/7/2018
31,13,7,7,3,1334,3622-11/7/2018
17,4,4,1,0,867,3622-25/8/2018
17,2,8,1,0,749,3622-26/11/2018
19,7,8,2,4,1232,3622-12/2/2019
44,17,24,4,1,1585,3622-20/6/2019
12,7,8,6,3,774,3622-30/8/2019
11,7,5,0,0,478,3622-9/12/2019
12,4,7,7,11,813,3622-15/2/2020
11,8,9,3,0,931,3622-2/7/2020
15,1,5,0,1,805,3622-12/8/2020
10,6,6,3,0,463,3622-11/11/2020
105,23,37,10,4,2288,3708-3/3/2009
115,33,38,12,6,2247,3708-8/5/2009
175,46,81,9,8,4574,3708-10/12/2009
130,25,44,6,10,2371,3708-4/3/2010
92,19,46,7,19,2178,3708-9/7/2010
126,27,57,8,2,2406,3708-12/8/2010
63,17,14,7,3,1768,3708-3/3/2011
60,12,15,5,5,1583,3708-10/5/2011
74,18,29,8,3,1879,3708-12/8/2011
92,34,54,22,15,1986,3708-10/11/2011
97,44,52,32,16,2319,3708-1/2/2012
122,88,50,47,19,2257,3708-2/3/2012
109,46,29,20,19,2134,3708-9/3/2012
24,25,24,13,2,1184,3708-20/3/2012
48,16,15,6,5,1633,3708-8/5/2012
74,59,25,21,7,1806,3708-25/5/2012
72,63,35,61,15,2257,3708-30/6/2012
63,12,20,5,10,1718,3708-9/8/2012
76,20,33,8,8,2127,3708-8/11/2012
87,42,32,13,3,2215,3708-1/3/2013
68,43,46,8,14,2339,3708-14/3/2013
74,55,37,6,7,1612,3708-15/3/2013
43,31,23,5,9,1109,3708-4/4/2013
51,31,23,6,5,2185,3708-8/5/2013
78,25,26,5,12,2223,3708-24/7/2013
123,30,36,14,10,2197,3708-8/11/2013
44,13,19,8,4,837,3708-13/1/2014
126,33,47,17,13,2205,3708-8/5/2014
90,35,18,6,7,2203,3708-7/8/2014
86,24,31,17,12,2152,3708-8/11/2014
107,62,31,19,11,2279,3708-4/2/2015
100,36,34,10,9,2186,3708-9/5/2015
54,17,18,9,4,1708,3708-3/6/2015
87,29,36,6,7,2207,3708-6/8/2015
90,42,49,12,11,2253,3708-4/11/2015
94,73,45,42,10,2254,3708-11/2/2016
87,23,51,20,10,2241,3708-12/5/2016
94,44,55,8,15,2308,3708-10/8/2016
79,41,60,7,11,2211,3708-10/11/2016
91,38,53,11,17,2266,3708-6/6/2017
78,53,35,10,16,2242,3708-11/8/2017
106,38,43,13,16,2270,3708-29/12/2017
122,44,55,13,16,2346,3708-23/2/2018
91,35,45,6,15,2237,3708-16/5/2018
105,27,51,11,21,2287,3708-27/8/2018
115,47,44,17,22,2226,3708-5/12/2018
102,63,47,20,9,2281,3708-26/2/2019
132,44,60,18,20,2284,3708-16/5/2019
113,28,24,4,7,2244,3708-11/6/2019
229,116,148,73,34,4746,3708-14/6/2019
125,47,44,11,19,2383,3708-26/6/2019
107,35,46,24,11,2230,3708-5/9/2019
114,87,64,52,36,2287,3708-15/10/2019
88,56,47,20,10,2287,3708-23/11/2019
102,51,60,24,18,2329,3708-9/3/2020
114,62,87,41,22,2325,3708-13/6/2020
96,47,87,48,21,1619,3708-30/6/2020
110,44,46,19,14,2289,3708-7/10/2020
118,40,44,33,14,2276,3708-4/11/2020
106,39,18,12,9,2970,3786-19/6/2008
47,21,14,10,2,1430,3786-10/12/2009
218,50,88,49,32,4530,3905-20/6/2008
92,13,28,12,9,2222,3905-22/8/2008
111,18,25,13,10,2196,3905-28/1/2009
99,31,42,26,12,2246,3905-15/8/2009
95,28,41,23,7,2221,3905-28/10/2009
201,65,61,42,31,6664,3905-10/12/2009
101,36,49,21,17,2165,3905-30/1/2010
64,28,20,22,7,1694,3905-30/4/2010
98,38,48,33,15,2040,3905-24/8/2010
38,21,21,23,3,1684,3905-27/10/2010
